date,tic,open,high,low,close,volume,day,kdjk,kdjd,kdjj,rsi_6,rsi_12,rsi_24,amount,change,daily_variance,open_,close_,high_,low_,volume_,landmark
2008-03-27,600122.SH,11.9561,12.0933,10.6821,10.8438,34608.79,20,38.4013,37.5485,40.1071,27.932,31.1113,32.7999,375290.797,-0.1026,0.1301,2.408,1.751,2.3457,2.0213,-0.0474,-
2008-03-28,600122.SH,10.8291,11.1623,10.0451,11.0937,43286.99,21,38.6656,37.9208,40.1551,34.3142,34.6365,35.2753,480212.881,0.0239,0.1007,1.8218,2.2756,1.8895,1.6236,0.2762,^
2008-03-31,600122.SH,10.8781,11.1133,10.197,10.3538,15032.77,22,29.6232,35.155,18.5597,26.1016,29.7237,31.6709,155646.294,-0.0506,0.0885,2.171,1.8343,2.1526,2.0113,-1.0139,-
2008-04-01,600122.SH,10.3734,10.5204,9.3199,9.4816,47540.35,23,21.3338,30.5479,2.9056,19.4997,25.1384,28.1348,450758.5826,-0.0941,0.1266,1.9353,0.8347,1.7589,1.0619,0.4854,-
2008-04-02,600122.SH,9.4326,9.7021,8.727,8.8593,73287.54,24,15.3268,25.4742,-4.9679,16.0287,22.4436,25.9756,649276.3031,-0.0647,0.1101,0.8043,-0.0739,0.6804,0.2157,1.7131,v
2008-04-03,600122.SH,8.8201,9.3836,8.4477,9.1582,62436.82,25,16.0765,22.3416,3.5462,23.8423,26.5682,28.7175,571808.8849,0.0369,0.1022,-0.1675,0.2408,0.1499,-0.2585,1.4057,-
2008-04-07,600122.SH,8.923,9.8491,8.8593,9.6874,37459.41,26,21.6558,22.113,20.7414,36.4132,33.4085,33.2829,362884.2884,0.0789,0.1022,-0.1002,0.8343,0.7247,0.1959,0.1982,-
2008-04-08,600122.SH,9.6531,10.148,9.6041,10.001,41786.39,27,28.1424,24.1228,36.1815,43.0928,37.1908,35.8246,417905.6864,0.0348,0.0544,0.7958,1.2716,1.0983,1.1215,0.4315,^
2008-04-09,600122.SH,9.8246,10.1921,9.3248,9.4179,40610.69,28,27.6325,25.2927,32.3122,34.9103,33.3487,33.3589,382467.4174,-0.0432,0.0921,1.0778,0.5915,1.2433,0.8238,0.3267,v
2008-04-10,600122.SH,9.2219,9.6041,8.9769,9.5061,32586.42,29,31.4181,27.3345,39.5852,37.0789,34.4658,34.075,309769.7672,0.0299,0.066,0.2946,0.6919,0.4486,0.3621,-0.1327,-
2008-04-11,600122.SH,9.6825,9.7658,9.4571,9.6825,17062.62,30,36.3866,30.3519,48.456,41.7377,36.7779,35.5212,165208.8181,0.0,0.0319,0.9056,0.8807,0.6382,0.9562,-0.9575,^
2008-04-14,600122.SH,9.6433,9.6433,8.9181,8.9377,20326.14,31,32.1379,30.9472,34.5194,30.3515,31.6368,32.3908,181668.9415,-0.0789,0.0811,0.8682,-0.07,0.4641,0.2712,-0.8777,v
2008-04-15,600122.SH,8.9573,9.1925,8.531,9.0357,15790.03,32,32.6612,31.5186,34.9466,33.2277,32.9816,33.1991,142673.9741,0.0087,0.0732,-0.0686,-0.0018,-0.1804,-0.2648,-1.1725,^
2008-04-16,600122.SH,9.0553,9.0553,8.6143,8.7123,12189.11,33,26.8303,29.9558,20.5794,28.5576,30.8005,31.8864,106195.1831,-0.0394,0.0506,0.0016,-0.4585,-0.4361,-0.2347,-1.4949,-
2008-04-17,600122.SH,8.5751,8.9573,8.1439,8.286,25546.52,34,20.1995,26.7037,7.1911,23.3635,28.1258,30.2416,211678.4647,-0.0349,0.0982,-0.678,-1.0252,-0.6291,-0.8506,-0.8352,-
2008-04-18,600122.SH,8.2321,8.3938,7.8842,7.9136,18172.21,35,13.891,22.4328,-3.1927,19.6222,25.9762,28.8836,143807.6011,-0.0402,0.0644,-1.1762,-1.5731,-1.3924,-1.2419,-1.1854,-
2008-04-21,600122.SH,8.5261,8.5261,7.4383,7.5657,29990.98,36,10.8028,18.5561,-4.704,16.6358,24.099,27.6722,226902.7574,-0.1269,0.1438,-0.9414,-2.2168,-1.3934,-1.9145,-0.6158,v
2008-04-22,600122.SH,7.404,7.7029,7.1149,7.5853,23280.9,37,13.1168,16.743,5.8644,17.4848,24.4346,27.8501,176592.6108,0.0239,0.0775,-2.4309,-2.6553,-2.6249,-2.618,-1.0324,-
2008-04-23,600122.SH,7.3501,8.0851,7.2913,7.9038,28417.86,38,18.6644,17.3835,21.2263,31.1569,29.9272,30.7386,224609.0819,0.0701,0.1004,-3.1158,-2.8117,-2.7129,-3.1008,-0.7297,-
2008-04-24,600122.SH,8.6829,8.6927,8.4526,8.6927,91927.38,39,33.244,22.6703,54.3913,53.8735,41.4307,37.2334,799097.1361,0.0011,0.0276,-1.68,-1.9717,-2.3581,-1.763,2.8965,-
2008-04-25,600122.SH,9.0063,9.5453,8.7809,9.2807,69950.37,40,51.867,32.4025,90.7958,64.3848,48.328,41.4999,649188.3989,0.0296,0.0824,-1.1495,-0.6555,-0.7611,-1.1425,2.3949,-
2008-04-28,600122.SH,9.0406,9.2611,8.9524,9.0161,33683.43,41,60.6532,41.8194,98.3209,57.33,45.6868,40.2163,303693.1732,-0.0027,0.0342,-0.999,-1.1523,-1.2681,-0.6881,-0.1406,-
2008-04-29,600122.SH,9.0161,9.3591,8.9671,9.266,23140.08,42,69.9382,51.1924,107.4298,62.0435,48.582,41.9848,214415.9813,0.027,0.0423,-0.9993,-0.5779,-1.0059,-0.604,-0.9296,-
